AAPL,MSFT,IBM,INTC,CSCO,CRM,ORCL,XOM,CVX,JPM,GS,AXP,V,JNJ,PFE,MRK,UNH,KO,PG,WMT,WBA,HD,MCD,NKE,DIS,BA,CAT,MMM,HON,VZ
308218681456.6789,238533082554.04926,186454762558.4049,117269732334.18268,115130128174.6518,15713433527.455132,66697408062.9373,329154057768.8625,192562272653.51093,169156560944.22464,83901783205.97694,57347207438.66731,65935123280.52432,180648328232.23953,139207798783.58264,106999625939.63254,35191046754.55542,143457258841.56262,185897361095.8665,192501623583.31924,30774263220.25612,54199892824.71428,78530235182.96179,31179363363.966595,71948684479.51633,38778554831.407875,34883523513.04462,52490920711.82976,28962868476.202644,101830489532.42455
302606128814.06647,243698154204.25876,181732673681.31622,116567627832.94295,115702965314.49545,15779362792.934969,67127186377.439995,332686031308.67474,192152251072.89905,167785560379.07172,85060686872.1127,56978115840.406166,64316794624.879906,177514560030.77322,136662790140.13261,108233391072.57884,35252496325.0423,145149202492.3199,184075591687.57935,192697127361.93265,30960691173.39056,54084661982.87347,79014121452.93887,30732055931.7822,71341971128.76375,38559558783.53676,34244984295.23785,53066075173.25432,28868103456.17845,101732728801.27956
305231805492.13403,245865132435.47083,183292879710.7597,116307640035.18233,115187010805.13028,15715044827.899616,65719663775.01505,324341463266.49164,189426515124.78418,164875820321.78983,85573768621.44377,55809985060.15742,63905853456.81138,180497719231.95114,135872174736.64622,109926257661.79118,34758042488.91797,145034524556.52686,180619005447.72906,191788962160.11673,31217534170.42674,53233017686.13851,79435658576.84387,30819374969.01833,70470388588.47954,37550361460.3312,34327530235.216778,52703737831.75815,29009956579.189472,101651564215.77765
314266790035.67053,244210876333.7689,180508337375.42453,116527333935.17351,115859784961.12411,15926952283.510029,66294155435.38872,325893415733.2854,193493469857.55487,161612005689.91092,84707215603.0228,54713070177.23241,63507962112.062355,176778470964.8955,137860355957.77362,109444535825.90633,34028132345.25214,143364964719.9218,181620038731.17673,193511293606.7463,31899413559.938766,54839339461.90718,79801380144.7792,30216567247.348164,67643473646.00705,37885303822.73743,33935278324.179543,52466245804.68054,28865158329.840977,101392461661.07062
319779656311.0871,244796947316.42416,180083432110.33856,114703669959.3991,113070782758.34013,15774757907.181175,66174802246.649506,334572634511.1637,194186363962.5786,164976832642.14105,84082042708.03403,53416813079.42888,62457630834.9851,174927317882.3384,143929620787.1492,107688670895.31712,34500246466.01601,142025014170.41336,184624262330.5951,194145103515.35776,31717479723.661808,54827280535.21251,78466901445.03908,30447581172.74268,67206855605.09439,37095711357.89976,33326149421.272907,52764115574.56395,29449810213.154327,101487262374.71053
317788761546.07886,246041593069.76608,183317112977.91797,115082302807.01677,112737213248.00696,15935729031.42583,66422603646.73164,341719822704.31384,194969970950.20676,161598082161.09964,82388466052.5549,55295593225.53391,64602668651.20033,174504652325.455,142570236111.6519,110956473287.96878,33973718939.296688,140789188573.51166,186517507024.65555,193018465612.78973,31606556233.04429,54750739844.00768,78770368947.72449,31196423056.782818,67481151570.55772,37725349452.166985,32364518216.58496,52849423832.15277,29199383498.863796,100027903511.88658
311318772223.3077,243862695565.08215,185426504644.51163,112888153817.30978,113200513658.33994,15783301128.907389,66090241337.27101,345704215654.5199,196576102518.2794,166004982510.6167,82346912424.03072,54498171811.68219,64357901293.78195,175109725553.11664,142923040033.63144,108504101982.8311,34078250811.262157,141734956272.7658,194721993749.9625,196960263221.15207,31177100600.215443,54613094170.1795,76264994563.03915,30788043040.393635,68023531907.56911,38745392563.41456,32145605798.983673,52389853957.42034,28532028550.590195,99846172743.33186
304285806509.96356,240788821841.65994,182852098151.92123,112859923893.6147,110479292213.49124,15455406741.335861,67608686014.09024,337055407294.0578,194082039315.57468,171780855789.41333,86136257556.05667,53234551207.7924,63956099230.62018,175916447700.95142,147747900775.84933,106461676935.99188,34010399784.004185,143667838401.8173,195318722117.63657,195683575445.169,31052974236.6879,53908230991.04583,75830474750.7708,30590987626.667557,68432934187.28591,38396730556.26347,32537457255.28831,53434610377.9831,28666305695.98977,100244042515.48734
304334448909.584,240741783708.66995,180861394511.39978,113498224129.78096,110837430670.96754,15816278286.50524,68643955577.24893,338017925160.11224,192574756541.17587,168200070151.42987,87626242682.7334,53620437383.33577,64587773895.49152,171687838133.2312,150032499014.96747,107629924159.27586,33518231685.5998,143131385158.64337,195265842069.11465,195449287852.79514,30877263876.443005,53918353929.02372,75404198435.22781,30639350317.58352,70400475530.21985,36558122858.55756,32555562787.69278,53685069487.21747,28839409562.8306,99816799733.21587
293841554152.80225,242433054358.178,185111538926.34244,111090367537.04695,112839809887.94072,15702152678.217562,68365649153.71909,331292277725.3315,192198347227.70453,172280904036.08505,88239621590.93079,55582872066.97158,66024030074.50228,172907925336.92514,154686527167.7827,108709362359.82172,34007445459.57018,142960463398.26694,194510469090.92224,193560530364.2508,31194609591.30311,53366080247.55345,76540353582.32169,30494383031.102715,71912151182.75696,37284709730.111336,33609170330.14372,54424305597.41861,28389993020.72309,99753817065.10535
