,const,sma10,sma30
AAPL,1.0083515791236126,0.24992325020484712,0.10428127267068327
MSFT,1.0231294183197754,-0.11835340453451512,-0.21306296038961325
IBM,0.997674248474448,0.8887417243398542,-1.2214297062125434
INTC,1.0076905355094423,0.19777000811886708,-0.39994317395930795
CSCO,1.0313771311573678,0.5688629083559158,-0.42725571854410915
CRM,0.9837646998779028,0.576010296349035,-0.3379816263188607
ORCL,0.978725011200403,0.25428536938775936,-0.5365379695878758
XOM,0.9781095600390858,0.19635469666102826,0.1791123912104452
CVX,1.026746242162914,0.5278008189528817,-0.41001937023208673
JPM,1.0027994513669045,-0.09265830726570379,0.13924791541890968
GS,0.9932180709512162,0.8489254350623346,-0.4364461216059353
AXP,0.9827722673301018,0.6666984226477419,-0.39361926863473107
V,1.0290704929982535,0.6747585744287725,-0.35139617729580386
JNJ,0.9938065986695851,0.3186032086324123,-0.012931591639289825
PFE,0.9494589528002008,0.37554841065752614,0.027485085748709212
MRK,1.0351767644535042,0.5445188382160104,-0.6737163420320972
UNH,1.0018629922648954,0.20958276956363683,-0.40162676072586984
KO,1.0409782964577794,0.07541155439015049,0.04278284566762351
PG,0.9669923320071652,0.2831980914446672,-0.07839936880144636
WMT,0.9936756355947532,0.11385753747704977,-0.73344113374862
WBA,0.9999985577695814,-0.060811909180192886,-0.1663239248351107
HD,1.0170029949450792,-0.5329014839311006,0.2911789506719849
MCD,0.9659412973705207,0.4421587423199048,-0.07595930233725082
NKE,0.9746306912128002,0.5039475860956851,-0.5388143682753178
DIS,1.0106064800645262,0.37849024942752835,-0.050209815074628794
BA,1.0794675067322588,0.4595511815173466,-0.2894248830012835
CAT,1.0578188580467474,0.4457176538166164,0.0703326157084278
MMM,1.0146717672651282,0.052097948554024914,0.015279772817153276
HON,1.0087329616830354,0.30857575912843965,-0.06148901134722194
VZ,0.9803866319394671,0.6629024296956771,-0.6145534919285733
