account_id,cust_id,account_type,open_date,status
A00032,C0017,SAVINGS,10/21/21,Active
A00030,C0035,savings,,active
A00021,C0031,credit_card,04/11/2023,Active
A00004,C0012,savings,05/24/20,Active
A00046,C0045,savings,27-Aug-2023,active
A00026,C0001,savings,08/19/21,active
A00001,C0035,credit_card,03/26/2022,active
A00070,C0058,CREDIT_CARD,08/04/19,Active
A00075,C0009,checking,07-Apr-2023,Active
A00053,C0057,checking,,ACTIVE
A00036,C0025,credit_card,07/14/20,active
A00034,C0011,credit_card,2023-06-10,Active
A00037,C0049,checking,02/03/23,active
A00008,C0037,savings,01/09/2020,Active
A00089,C0040,savings,11-Oct-2021,active
A00002,C0034,CREDIT_CARD,21-Mar-2021,Active
A00058,C0001,credit_card,05/31/20,Active
A00064,C0044,CREDIT_CARD,29-Sep-2023,Closed
A00007,C0040,credit_card,12/18/20,Active
A00006,C0055,credit_card,26-Jul-2021,closed
A00014,C0057,checking,07/30/2023,Active
A00023,C0054,checking,11/24/2024,Closed
A00086,C0036,checking,11/11/19,active
A00033,C0021,savings,29-Aug-2021,Active
A00052,C0007,CHECKING,06/16/2020,Active
A00082,C0025,checking,03/19/2021,Active
A00056,C0016,CHECKING,02/20/24,active
A00061,C0054,credit_card,07/04/22,Active
A00067,C0015,credit_card,29-Apr-2019,Active
A00041,C0041,checking,05-Jan-2020,ACTIVE
A00062,C0001,checking,09-Jan-2020,Closed
A00074,C0024,CHECKING,11/12/2021,Active
A00081,C0050,credit_card,12/02/2022,Active
A00031,C0056,CHECKING,24-Mar-2022,active
A00069,C0055,savings,31-May-2021,Active
A00073,C0040,CREDIT_CARD,06/22/2021,Active
A00035,C0002,checking,03/18/2022,ACTIVE
A00015,C0002,savings,04/10/22,Active
A00042,C0034,SAVINGS,2023-04-10,Closed
A00019,C0022,credit_card,06-Jun-2024,Active
A00084,C0020,savings,10-Sep-2020,Active
A00048,C0032,SAVINGS,01/09/23,Active
A00016,C0059,SAVINGS,02/14/2024,Active
A00076,C0013,checking,2023-06-15,Closed
A00027,C0054,credit_card,16-Feb-2020,Active
A00079,C0055,checking,2023-11-24,Closed
A00071,C0017,savings,2024-06-12,active
A00078,C0011,credit_card,23-Aug-2022,Active
A00054,C0034,savings,08/03/19,Active
A00059,C0053,SAVINGS,02/02/2024,Active
A00060,C0004,savings,01/24/24,Closed
A00045,C0030,savings,07/09/20,Active
A00084,C0020,savings,10-Sep-2020,Active
A00092,C9092,savings,05/31/2021,Active
A00090,C0032,savings,04-Mar-2022,Active
A00090,C0032,savings,04-Mar-2022,Active
A00039,C0007,savings,18-Nov-2021,Closed
A00009,C0046,savings,2023-08-14,active
A00045,C0030,savings,07/09/20,Active
A00050,C0059,CHECKING,05/30/2020,ACTIVE
A00057,C0017,SAVINGS,03/18/2020,Active
A00022,C0002,credit_card,06/01/19,Active
A00087,C0040,credit_card,01/17/24,Closed
A00005,C0012,savings,2019-11-26,active
A00065,C0044,CHECKING,2020-02-29,Active
A00013,C0003,credit_card,29-Apr-2019,CLOSED
A00038,C0047,credit_card,02-Apr-2021,Active
A00010,C0029,SAVINGS,2019-12-27,Active
A00020,C0050,checking,05-Sep-2021,Active
A00018,C0033,credit_card,03/04/2022,active
A00029,C0007,savings,12/18/2020,Active
A00025,C0046,credit_card,2023-04-06,closed
A00063,C0009,credit_card,09/03/19,Active
A00044,C0008,checking,2020-04-22,Active
A00028,C0018,SAVINGS,04/16/2022,Active
A00024,C0013,savings,2024-04-07,ACTIVE
A00093,C9093,savings,06/15/2020,Active
A00080,C0026,checking,2022-06-24,ACTIVE
A00003,C0007,savings,20-Oct-2019,Active
A00047,C0049,savings,2023-02-26,Active
A00066,C0056,savings,2023-02-14,Active
A00055,C0022,checking,2023-01-22,Active
A00088,C0045,savings,09/11/2019,Active
A00012,C0051,checking,04/13/21,Active
A00068,C0033,credit_card,2021-01-13,Closed
A00040,C0039,checking,04/02/24,closed
A00043,C0048,credit_card,25-Jun-2021,active
A00083,C0002,credit_card,15-Mar-2024,ACTIVE
A00049,C0055,credit_card,18-May-2021,active
A00072,C0056,credit_card,27-Oct-2023,Active
A00040,C0039,checking,04/02/24,closed
A00011,C0056,credit_card,08/20/23,Active
A00091,C9091,checking,11/06/21,Active
A00077,C0020,credit_card,10/25/23,Active
A00017,C0001,savings,05-Feb-2022,ACTIVE
A00051,C0028,checking,12-Aug-2021,Active
A00085,C0018,savings,12-Dec-2022,Active
