txn_id,account_id,merchant_id,txn_date,amount,description
T0001935,A00084,M021,2025-04-07,$-265.34,  PURCHASE 393773  
T0002004,A00013,M004,2025-06-21,-227.32,PURCHASE 354880
T0002158,A00078,M010,18-May-2025,-136.30,PURCHASE 504453
T0002745,A00079,M006,06/06/2025,-9.33,PURCHASE 726945
T0002675,A00044,M018,06/23/2024,-186.21,  PURCHASE 796652  
T0000586,A00006,M013,2024-05-30,-189.27,PURCHASE 862008
T0002111,A00057,M005,11-Jan-2025,-197.41,PURCHASE 240022
T0000837,A00033,M011,25-Jan-2024,-44.20,PURCHASE 958121
T0002341,A00069,M018,05/18/2024,$(99.99),PURCHASE 406291
T0000502,A00066,M030,2024-07-13,$(228.89),PURCHASE 521673
T0002699,A00045,M015,04/26/2025,$-134.40,PURCHASE 380632
T0002628,A00019,M015,06/20/25,-130.02,  PURCHASE 340405  
T0002233,A00039,M030,02-Apr-2024,$-317.27,PURCHASE 735678
T0003076,A00006,M018,06/22/24,-405.28,  PURCHASE 938841  
T0000081,A00036,M008,2024-02-01,$-124.80,PURCHASE 903124
T0001767,A00049,M013,2024-07-18,$-38.71,PURCHASE 808814
T0000281,A00007,M002,02/26/2024,-63.62,PURCHASE 214176
T0000923,A00072,M023,2025-05-06,$-66.92,PURCHASE 532458
T0000765,A00058,M014,05/28/24,-375.26,  PURCHASE 868278  
T0001948,A00048,M011,27-Mar-2024,-385.92,  PURCHASE 270838  
T0001961,A00039,M003,2024-03-12,-26.01,PURCHASE 280765
T0000302,A00068,M027,03/03/24,-60.93,PURCHASE 574978
T0002553,A00011,M007,2024-04-26,$-72.94,PURCHASE 325123
T0001262,A00033,M012,09-Jan-2025,$-224.69,PURCHASE 352586
T0001110,A00090,M002,2025-04-03,$-9.70,  PURCHASE 397249  
T0002065,A00014,,01-Dec-2024, -288.41 ,PURCHASE 418321
T0002921,A00049,M023,02/13/2025,-257.63,  PURCHASE 232308  
T0001858,A00052,M010,03/08/2025,-286.56,  PURCHASE 874635  
T0003205,A99999,M024,04/17/24,-10.79,PURCHASE ORPHAN
T0000279,A00019,M006,2025-04-01,-52.02,PURCHASE 996963
T0000949,A00020,M028,11/30/2024,-398.52,PURCHASE 815321
T0000200,A00039,M017,18-Jun-2024,(271.33),PURCHASE 341535
T0002923,A00061,M022,03/01/25,-129.36,PURCHASE 384889
T0002025,A00054,M024,2024-05-26, $-205.75 ,PURCHASE 374552
T0000608,A00055,M003,2024-06-29,-117.22,  PURCHASE 372050  
T0002439,A00001,M003,24-Apr-2025, $-323.14 ,PURCHASE 476482
T0000732,A00092,,07/02/24, $-417.21 ,PURCHASE 199315
T0000242,A00047,M025,12-Dec-2024,-263.68,PURCHASE 343977
T0001710,A00047,M016,08/19/2024,$(38.34),PURCHASE 551188
T0000889,A00027,M016,2024-09-24,-120.44,PURCHASE 633506
T0001593,A00093,M014,2024-07-31,$-326.21,PURCHASE 499513
T0001971,A00048,M006,2024-03-21, $-222.79 ,  PURCHASE 866113  
T0001144,A00070,M031,07-May-2024,"3,034.84",PAYROLL DEP 543745
T0003178,A00061,M003,03/20/2024,-268.34,PURCHASE 486507
T0002620,A00051,M014,01-Sep-2024,-269.56,PURCHASE 175236
T0001881,A00045,M003,31-Mar-2024,-141.59,PURCHASE 140885
T0000719,A00089,M018,2024-12-03,$-11.31,PURCHASE 904092
T0002345,A00073,M021,01/11/24,-160.98,PURCHASE 381300
T0002642,A00039,M031,2024-05-19,"2,275.51",PAYROLL DEP 675807
T0002338,A00046,M025,2025-01-12,(233.13),PURCHASE 525614
T0002500,A00092,M029,08/24/24,-44.17,PURCHASE 925135
T0002269,A00016,M009,02/17/24,$-143.28,PURCHASE 374722
T0001460,A00017,M014,01/13/25,$(325.41),  PURCHASE 164116  
T0002450,A00074,M025,04-Oct-2024,-194.94,PURCHASE 410397
T0002761,A00063,M018,2024-03-28, $-264.48 ,  PURCHASE 229315  
T0003056,A00039,M024,02/19/2024,(130.30),PURCHASE 203013
T0001204,A00073,M019,03-Dec-2024, -161.12 ,  PURCHASE 800912  
T0002179,A00039,M014,2025-01-07,-178.60,  PURCHASE 511980  
T0002357,A00057,M012,2024-01-20,-260.05,PURCHASE 628272
T0002809,A00025,M031,2024-06-08,,PURCHASE 546802
T0002750,A00090,M028,03/13/2025,-241.99,PURCHASE 605487
T0002006,A00045,,2024-06-13,,PURCHASE 769325
T0000162,A00043,M013,2025-03-24,-327.91,PURCHASE 606545
T0002545,A00002,M007,02/08/2025,$(114.70),PURCHASE 617954
