loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length_missing
2700,36.0,12.99,90.97,2,11,5.0,1,100000.0,0,2,14.05,0.0,0.0,13.0,0.0,2010,7.8,31.0,0
14125,36.0,6.62,433.69,0,1,4.0,5,45000.0,0,2,28.16,1.0,0.0,10.0,0.0,9373,26.7,42.0,0
35000,36.0,14.65,1207.3,2,14,3.0,1,200000.0,2,2,29.97,0.0,1.0,13.0,0.0,22936,53.0,34.0,0
10000,36.0,10.56,325.31,1,7,6.0,4,18000.0,1,5,7.47,0.0,1.0,7.0,0.0,1458,7.3,11.0,1
5000,36.0,11.99,166.05,2,10,10.0,5,32400.0,1,6,25.11,0.0,0.0,7.0,0.0,11850,80.6,15.0,0
35000,60.0,13.99,814.21,2,13,10.0,1,130000.0,2,1,10.18,4.0,0.0,11.0,0.0,48887,74.2,24.0,0
40000,60.0,9.93,848.51,1,6,6.0,4,72000.0,2,8,6.53,0.0,0.0,8.0,0.0,65896,6.5,21.0,1
3200,36.0,15.61,111.89,3,15,9.0,5,53000.0,2,2,29.92,1.0,1.0,11.0,0.0,5015,29.5,25.0,0
3200,36.0,12.29,106.73,2,10,9.0,5,35000.0,1,9,17.15,0.0,0.0,10.0,0.0,6503,36.3,15.0,0
14400,60.0,14.64,339.86,2,12,10.0,4,68000.0,1,2,19.98,0.0,0.0,15.0,0.0,16142,67.5,34.0,0
6000,36.0,14.08,205.3,2,12,10.0,5,85000.0,0,1,13.17,0.0,2.0,17.0,0.0,4918,48.7,42.0,0
20000,36.0,10.64,651.37,1,6,7.0,1,70000.0,2,1,8.76,0.0,0.0,7.0,0.0,18489,63.8,13.0,0
11200,60.0,12.79,253.64,2,10,10.0,1,130000.0,0,2,14.95,2.0,0.0,15.0,0.0,9951,99.5,25.0,0
11450,60.0,10.42,245.66,1,7,0.0,5,40000.0,0,2,22.44,0.0,0.0,14.0,2.0,2482,5.1,22.0,0
21000,60.0,19.48,550.32,4,21,10.0,1,133308.0,2,1,24.17,0.0,4.0,27.0,0.0,45924,68.6,48.0,0
4400,36.0,6.99,135.84,0,2,1.0,1,54200.0,0,2,12.67,0.0,1.0,11.0,0.0,23200,58.0,27.0,0
5000,36.0,13.05,168.6,1,9,10.0,1,64000.0,2,4,5.27,0.0,1.0,5.0,1.0,9156,96.4,12.0,0
7200,36.0,11.47,237.33,1,9,2.0,5,43680.0,1,2,29.12,0.0,1.0,9.0,0.0,9404,63.5,36.0,0
